setid,Solvent: Weight fraction of tetrabutylphosphonium tetrafluoroborate,"MolaLity of (S)-2-aminopropanoic acid, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kRxmW,0.001,0.1,100,298.15,997.4,Roy et al. (2013c),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
kRxmW,0.001,0.159,100,298.15,997.8,Roy et al. (2013c),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
kRxmW,0.001,0.201,100,298.15,998.1,Roy et al. (2013c),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
kRxmW,0.001,0.235,100,298.15,998.6,Roy et al. (2013c),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
kRxmW,0.001,0.266,100,298.15,999,Roy et al. (2013c),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
kRxmW,0.001,0.293,100,298.15,999.4,Roy et al. (2013c),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
kRxmW,0.003,0.1,100,298.15,998.8,Roy et al. (2013c),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
kRxmW,0.003,0.158,100,298.15,999,Roy et al. (2013c),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
kRxmW,0.003,0.2,100,298.15,999.4,Roy et al. (2013c),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
kRxmW,0.003,0.235,100,298.15,999.7,Roy et al. (2013c),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
