setid,"Temperature, K","MolaLity of 1-decyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of L-arabinose, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YPHBV,288.15,0,86,0.5,1026.7,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,288.15,0.01442,86,0.5,1027.22,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,288.15,0.0192,86,0.5,1027.38,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,288.15,0.02499,86,0.5,1027.58,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,288.15,0.02925,86,0.5,1027.73,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,288.15,0.03358,86,0.5,1027.88,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,288.15,0.03698,86,0.5,1027.99,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,288.15,0.04177,86,0.5,1028.14,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,288.15,0.04583,86,0.5,1028.26,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,288.15,0.052,86,0.5,1028.43,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,288.15,0.0873,86,0.5,1029.39,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,288.15,0.138,86,0.5,1030.73,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,288.15,0.1949,86,0.5,1032.2,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,288.15,0.2507,86,0.5,1033.61,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,288.15,0.2798,86,0.5,1034.33,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,288.15,0.3664,86,0.5,1036.38,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,293.15,0,86,0.5,1025.56,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,293.15,0.01442,86,0.5,1026.04,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,293.15,0.0192,86,0.5,1026.18,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
YPHBV,293.15,0.02499,86,0.5,1026.38,Zamani et al. (2018),Density,Liquid,AActTn,OC[C@H](O)[C@H](O)[C@@H](O)C=O,L-arabinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
