setid,"MolaLity of 1,3-dimethylimidazolium methylsulfate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cRujv,0.01,293.15,101,911.6,Dutta et al. (2018),Density,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
cRujv,0.01,303.15,101,902.8,Dutta et al. (2018),Density,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
cRujv,0.01,313.15,101,896.5,Dutta et al. (2018),Density,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
cRujv,0.025,293.15,101,911.8,Dutta et al. (2018),Density,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
cRujv,0.025,303.15,101,903.1,Dutta et al. (2018),Density,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
cRujv,0.025,313.15,101,896.8,Dutta et al. (2018),Density,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
cRujv,0.04,293.15,101,912,Dutta et al. (2018),Density,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
cRujv,0.04,303.15,101,903.3,Dutta et al. (2018),Density,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
cRujv,0.04,313.15,101,897.1,Dutta et al. (2018),Density,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
cRujv,0.055,293.15,101,912.3,Dutta et al. (2018),Density,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
cRujv,0.055,303.15,101,903.6,Dutta et al. (2018),Density,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
cRujv,0.055,313.15,101,897.4,Dutta et al. (2018),Density,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
cRujv,0.07,293.15,101,912.6,Dutta et al. (2018),Density,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
cRujv,0.07,303.15,101,904,Dutta et al. (2018),Density,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
cRujv,0.07,313.15,101,897.9,Dutta et al. (2018),Density,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
cRujv,0.085,293.15,101,913,Dutta et al. (2018),Density,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
cRujv,0.085,303.15,101,904.4,Dutta et al. (2018),Density,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
cRujv,0.085,313.15,101,898.2,Dutta et al. (2018),Density,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
