setid,"Temperature, K","MolaLity of 1-butyl-3-ethylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UlYmH,293.15,0.013,100,998.8,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,293.15,0.0143,100,998.8,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,293.15,0.0148,100,998.9,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,293.15,0.0163,100,998.9,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,293.15,0.02,100,999.1,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,293.15,0.0214,100,999.2,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,293.15,0.0252,100,999.4,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,293.15,0.0292,100,999.5,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,293.15,0.032,100,999.7,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,293.15,0.0359,100,999.9,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,293.15,0.039,100,1000,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,298.15,0.013,100,997.5,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,298.15,0.0143,100,997.6,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,298.15,0.0148,100,997.6,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,298.15,0.0163,100,997.7,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,298.15,0.02,100,997.9,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,298.15,0.0214,100,997.9,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,298.15,0.0252,100,998.1,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,298.15,0.0292,100,998.3,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,298.15,0.032,100,998.4,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,298.15,0.0359,100,998.6,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,298.15,0.039,100,998.8,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,303.15,0.013,100,996,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,303.15,0.0143,100,996.1,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,303.15,0.0148,100,996.1,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,303.15,0.0163,100,996.2,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,303.15,0.02,100,996.3,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,303.15,0.0214,100,996.4,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,303.15,0.0252,100,996.6,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,303.15,0.0292,100,996.8,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,303.15,0.032,100,996.9,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,303.15,0.0359,100,997.1,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,303.15,0.039,100,997.3,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,308.15,0.013,100,994.3,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,308.15,0.0143,100,994.4,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,308.15,0.0148,100,994.4,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,308.15,0.0163,100,994.5,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,308.15,0.02,100,994.6,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,308.15,0.0214,100,994.6,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,308.15,0.0252,100,994.8,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,308.15,0.0292,100,995,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,308.15,0.032,100,995.2,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,308.15,0.0359,100,995.4,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
UlYmH,308.15,0.039,100,995.5,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
