setid,"MolaRity of octyl trimethyl ammonium bromide, mol/dm3","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HRRFB,0,298.15,101,997,Gomez-Diaz et al. (2007a),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
HRRFB,0.02,298.15,101,997.62,Gomez-Diaz et al. (2007a),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
HRRFB,0.04,298.15,101,998.2,Gomez-Diaz et al. (2007a),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
HRRFB,0.06,298.15,101,998.73,Gomez-Diaz et al. (2007a),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
HRRFB,0.08,298.15,101,999.23,Gomez-Diaz et al. (2007a),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
HRRFB,0.1,298.15,101,999.68,Gomez-Diaz et al. (2007a),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
HRRFB,0.12,298.15,101,1000.25,Gomez-Diaz et al. (2007a),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
HRRFB,0.14,298.15,101,1000.79,Gomez-Diaz et al. (2007a),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
HRRFB,0.16,298.15,101,1001.62,Gomez-Diaz et al. (2007a),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
HRRFB,0.18,298.15,101,1001.9,Gomez-Diaz et al. (2007a),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
HRRFB,0.2,298.15,101,1002.54,Gomez-Diaz et al. (2007a),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
HRRFB,0.3,298.15,101,1005,Gomez-Diaz et al. (2007a),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
HRRFB,0.4,298.15,101,1008.09,Gomez-Diaz et al. (2007a),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
HRRFB,0.5,298.15,101,1010.5,Gomez-Diaz et al. (2007a),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
HRRFB,0.6,298.15,101,1013.19,Gomez-Diaz et al. (2007a),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
HRRFB,0.8,298.15,101,1018.07,Gomez-Diaz et al. (2007a),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
HRRFB,1,298.15,101,1022.98,Gomez-Diaz et al. (2007a),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
