setid,Mole fraction of diethylammonium nitrate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jdjTc,0,293.15,101,1215.6,Canongia Lopes et al. (2016),Density,Liquid,AAaJVB,CC[NH2+]CC.O=[N+]([O-])[O-],diethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
jdjTc,0,298.15,101,1212.4,Canongia Lopes et al. (2016),Density,Liquid,AAaJVB,CC[NH2+]CC.O=[N+]([O-])[O-],diethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
jdjTc,0,303.15,101,1209.3,Canongia Lopes et al. (2016),Density,Liquid,AAaJVB,CC[NH2+]CC.O=[N+]([O-])[O-],diethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
jdjTc,0,308.15,101,1206.2,Canongia Lopes et al. (2016),Density,Liquid,AAaJVB,CC[NH2+]CC.O=[N+]([O-])[O-],diethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
jdjTc,0,313.15,101,1203.1,Canongia Lopes et al. (2016),Density,Liquid,AAaJVB,CC[NH2+]CC.O=[N+]([O-])[O-],diethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
jdjTc,0,318.15,101,1200.1,Canongia Lopes et al. (2016),Density,Liquid,AAaJVB,CC[NH2+]CC.O=[N+]([O-])[O-],diethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
jdjTc,0,323.15,101,1197.1,Canongia Lopes et al. (2016),Density,Liquid,AAaJVB,CC[NH2+]CC.O=[N+]([O-])[O-],diethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
jdjTc,0,328.15,101,1194.1,Canongia Lopes et al. (2016),Density,Liquid,AAaJVB,CC[NH2+]CC.O=[N+]([O-])[O-],diethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
jdjTc,0,333.15,101,1191.2,Canongia Lopes et al. (2016),Density,Liquid,AAaJVB,CC[NH2+]CC.O=[N+]([O-])[O-],diethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
jdjTc,0,338.15,101,1188.2,Canongia Lopes et al. (2016),Density,Liquid,AAaJVB,CC[NH2+]CC.O=[N+]([O-])[O-],diethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
jdjTc,0,343.15,101,1185.3,Canongia Lopes et al. (2016),Density,Liquid,AAaJVB,CC[NH2+]CC.O=[N+]([O-])[O-],diethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
jdjTc,0,348.15,101,1182.4,Canongia Lopes et al. (2016),Density,Liquid,AAaJVB,CC[NH2+]CC.O=[N+]([O-])[O-],diethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
jdjTc,0,353.15,101,1179.5,Canongia Lopes et al. (2016),Density,Liquid,AAaJVB,CC[NH2+]CC.O=[N+]([O-])[O-],diethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
jdjTc,0.0499,293.15,101,1206.2,Canongia Lopes et al. (2016),Density,Liquid,AAaJVB,CC[NH2+]CC.O=[N+]([O-])[O-],diethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
jdjTc,0.0499,298.15,101,1203.1,Canongia Lopes et al. (2016),Density,Liquid,AAaJVB,CC[NH2+]CC.O=[N+]([O-])[O-],diethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
