setid,Weight fraction of 2-(2-aminoethoxy)ethanol,Weight fraction of water,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wOjmx,0.4742,0.2665,293.15,101,1112.5,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
wOjmx,0.4742,0.2665,298.15,101,1108.6,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
wOjmx,0.4742,0.2665,303.15,101,1104.7,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
wOjmx,0.4742,0.2665,308.15,101,1100.8,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
wOjmx,0.4742,0.2665,313.15,101,1096.8,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
wOjmx,0.4742,0.2665,318.15,101,1092.8,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
wOjmx,0.4742,0.2665,323.15,101,1088.8,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
wOjmx,0.4742,0.2665,328.15,101,1084.7,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
wOjmx,0.4742,0.2665,333.15,101,1080.6,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
wOjmx,0.4976,0.1,293.15,101,1148.3,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
wOjmx,0.4976,0.1,298.15,101,1144.2,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
wOjmx,0.4976,0.1,303.15,101,1140.2,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
wOjmx,0.4976,0.1,308.15,101,1136.1,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
wOjmx,0.4976,0.1,313.15,101,1132.1,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
wOjmx,0.4976,0.1,318.15,101,1128,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
wOjmx,0.4976,0.1,323.15,101,1123.9,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
