setid,"MolaLity of 1-ethyl-3-methylimidazolium hypoxanthinide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lMlSS,0,94.4,298.15,997.05,Gavhane et al. (2022),Density,Liquid,AAvSpf,[N-]1C=NC=2N=CNC2C1=O.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium hypoxanthinide,AADYJk,O,water,,,
lMlSS,0.0093,94.4,298.15,997.57,Gavhane et al. (2022),Density,Liquid,AAvSpf,[N-]1C=NC=2N=CNC2C1=O.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium hypoxanthinide,AADYJk,O,water,,,
lMlSS,0.0318,94.4,298.15,998.83,Gavhane et al. (2022),Density,Liquid,AAvSpf,[N-]1C=NC=2N=CNC2C1=O.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium hypoxanthinide,AADYJk,O,water,,,
lMlSS,0.0492,94.4,298.15,999.79,Gavhane et al. (2022),Density,Liquid,AAvSpf,[N-]1C=NC=2N=CNC2C1=O.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium hypoxanthinide,AADYJk,O,water,,,
lMlSS,0.0852,94.4,298.15,1001.8,Gavhane et al. (2022),Density,Liquid,AAvSpf,[N-]1C=NC=2N=CNC2C1=O.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium hypoxanthinide,AADYJk,O,water,,,
lMlSS,0.1513,94.4,298.15,1005.46,Gavhane et al. (2022),Density,Liquid,AAvSpf,[N-]1C=NC=2N=CNC2C1=O.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium hypoxanthinide,AADYJk,O,water,,,
lMlSS,0.238,94.4,298.15,1010.19,Gavhane et al. (2022),Density,Liquid,AAvSpf,[N-]1C=NC=2N=CNC2C1=O.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium hypoxanthinide,AADYJk,O,water,,,
lMlSS,0.4098,94.4,298.15,1019.03,Gavhane et al. (2022),Density,Liquid,AAvSpf,[N-]1C=NC=2N=CNC2C1=O.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium hypoxanthinide,AADYJk,O,water,,,
lMlSS,0.6265,94.4,298.15,1029.76,Gavhane et al. (2022),Density,Liquid,AAvSpf,[N-]1C=NC=2N=CNC2C1=O.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium hypoxanthinide,AADYJk,O,water,,,
lMlSS,0.7443,94.4,298.15,1035.38,Gavhane et al. (2022),Density,Liquid,AAvSpf,[N-]1C=NC=2N=CNC2C1=O.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium hypoxanthinide,AADYJk,O,water,,,
lMlSS,0.8685,94.4,298.15,1040.93,Gavhane et al. (2022),Density,Liquid,AAvSpf,[N-]1C=NC=2N=CNC2C1=O.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium hypoxanthinide,AADYJk,O,water,,,
