setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium octyl sulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zhmoJ,278.15,0,101,999.97,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,278.15,0.629,101,1015.7,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,278.15,1.519,101,1030.1,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,278.15,2.395,101,1039.7,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,278.15,3.321,101,1046.9,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,278.15,4.251,101,1052.2,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,288.15,0,101,999.1,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,288.15,0.64,101,1013.5,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,288.15,1.515,101,1026.3,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,288.15,2.397,101,1035,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,288.15,3.311,101,1041.5,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,288.15,4.246,101,1046.5,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,298.15,0,101,997,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,298.15,0.639,101,1010.2,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,298.15,1.502,101,1021.8,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,298.15,2.394,101,1029.9,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,298.15,3.321,101,1036,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,298.15,4.238,101,1040.4,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,308.15,0,101,994,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,308.15,0.647,101,1006.3,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,308.15,1.499,101,1016.9,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,308.15,2.393,101,1024.4,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,308.15,3.311,101,1030,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
zhmoJ,308.15,4.274,101,1034.4,Orchilles et al. (2006),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
