setid,Solvent: Weight fraction of triethylammonium dihydrogen phosphate,"Mass ratio to solvent: 2,5-diketopiperazine","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xuWtp,0.123,0.0077,298.15,101,1000.47,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
xuWtp,0.123,0.0098,298.15,101,1001.94,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
xuWtp,0.123,0.0109,298.15,101,1002.7,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
xuWtp,0.123,0.0121,298.15,101,1003.47,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
xuWtp,0.123,0.0127,298.15,101,1003.94,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
xuWtp,0.1901,0.0078,298.15,101,1064.31,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
xuWtp,0.1901,0.0085,298.15,101,1075.52,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
xuWtp,0.1901,0.0093,298.15,101,1086.4,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
xuWtp,0.1901,0.0097,298.15,101,1091.6,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
xuWtp,0.1901,0.0102,298.15,101,1097.95,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
xuWtp,0.259,0.0066,298.15,101,1083.16,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
xuWtp,0.259,0.0067,298.15,101,1086.43,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
xuWtp,0.259,0.0074,298.15,101,1098.44,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
xuWtp,0.259,0.0079,298.15,101,1105.07,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
xuWtp,0.259,0.008,298.15,101,1108.22,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
