setid,Mole fraction of acetophenone,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YtpCf,0.1024,298.15,100,1393.3,Widowati and Lee (2012),Density,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,ABdMCc,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,,,
YtpCf,0.1024,298.15,10000,1399.9,Widowati and Lee (2012),Density,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,ABdMCc,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,,,
YtpCf,0.1024,298.15,15000,1402.9,Widowati and Lee (2012),Density,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,ABdMCc,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,,,
YtpCf,0.1024,298.15,20000,1406,Widowati and Lee (2012),Density,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,ABdMCc,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,,,
YtpCf,0.1024,298.15,25000,1408.8,Widowati and Lee (2012),Density,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,ABdMCc,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,,,
YtpCf,0.1024,298.15,30000,1411.6,Widowati and Lee (2012),Density,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,ABdMCc,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,,,
YtpCf,0.1024,298.15,35000,1414.3,Widowati and Lee (2012),Density,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,ABdMCc,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,,,
YtpCf,0.1024,298.15,40000,1417.1,Widowati and Lee (2012),Density,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,ABdMCc,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,,,
YtpCf,0.1024,298.15,45000,1419.8,Widowati and Lee (2012),Density,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,ABdMCc,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,,,
YtpCf,0.1024,298.15,50000,1422.4,Widowati and Lee (2012),Density,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,ABdMCc,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,,,
