setid,"Temperature, K","MolaLity of benzylmethylammonium hexanoate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gGZmn,303.15,0.17086,101.3,1084.35,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,303.15,0.26383,101.3,1081.47,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,303.15,0.32531,101.3,1079.57,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,303.15,0.42572,101.3,1076.83,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,303.15,0.50888,101.3,1074.67,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,303.15,0.58316,101.3,1072.87,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,303.15,0.66053,101.3,1071.06,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,308.15,0,101.3,1085.35,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,308.15,0.08525,101.3,1082.16,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,308.15,0.17086,101.3,1079.32,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,308.15,0.26383,101.3,1076.41,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,308.15,0.32531,101.3,1074.51,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,308.15,0.42572,101.3,1071.76,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,308.15,0.50888,101.3,1069.6,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,308.15,0.58316,101.3,1067.79,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,308.15,0.66053,101.3,1065.98,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,313.15,0,101.3,1080.33,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,313.15,0.08525,101.3,1077.14,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,313.15,0.17086,101.3,1074.29,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,313.15,0.26383,101.3,1071.37,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,313.15,0.32531,101.3,1069.45,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,313.15,0.42572,101.3,1066.69,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,313.15,0.50888,101.3,1064.53,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,313.15,0.58316,101.3,1062.72,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,313.15,0.66053,101.3,1060.9,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,318.15,0,101.3,1075.31,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,318.15,0.08525,101.3,1072.13,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,318.15,0.17086,101.3,1069.26,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,318.15,0.26383,101.3,1066.33,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,318.15,0.32531,101.3,1064.4,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,318.15,0.42572,101.3,1061.63,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,318.15,0.50888,101.3,1059.46,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
