setid,"Temperature, K",Mole fraction of N-methyldiethanolamine,Mole fraction of guanidinium trifluoromethanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aWGeF,293.2,0,0.0202,101,1084.8,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,293.2,0,0.2073,101,1109.6,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,293.2,0.0192,0,101,1011.8,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,293.2,0.0424,0.1297,101,1093,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,293.2,0.0715,0.0728,101,1075.1,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,293.2,0.0931,0.03163,101,1058,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,293.2,0.1168,0,101,1043.3,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,293.2,0.1416,0.0347,101,1120.7,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,293.2,0.1842,0.0903,101,1189.9,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,298.2,0,0.0202,101,1081.9,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,298.2,0,0.2073,101,1107.3,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,298.2,0.0192,0,101,1008.9,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,298.2,0.0424,0.1297,101,1090.7,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,298.2,0.0715,0.0728,101,1072.6,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,298.2,0.0931,0.03163,101,1055.3,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,298.2,0.1168,0,101,1040.4,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,298.2,0.1416,0.0347,101,1117.8,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,298.2,0.1842,0.0903,101,1187,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,303.2,0,0.0202,101,1078.8,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,303.2,0,0.2073,101,1104.9,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,303.2,0.0192,0,101,1005.8,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,303.2,0.0424,0.1297,101,1088.2,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,303.2,0.0715,0.0728,101,1070,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,303.2,0.0931,0.03163,101,1052.5,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,303.2,0.1168,0,101,1037.3,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,303.2,0.1416,0.0347,101,1114.7,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,303.2,0.1842,0.0903,101,1183.9,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,313.2,0,0.0202,101,1073.9,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,313.2,0,0.2073,101,1099.6,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,313.2,0.0192,0,101,999.7,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,313.2,0.0424,0.1297,101,1082.7,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,313.2,0.0715,0.0728,101,1064.4,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,313.2,0.0931,0.03163,101,1046.7,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,313.2,0.1168,0,101,1030.8,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,313.2,0.1416,0.0347,101,1107.5,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,313.2,0.1842,0.0903,101,1176.2,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,323.2,0,0.0202,101,1068.4,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,323.2,0,0.2073,101,1093.8,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,323.2,0.0192,0,101,993.1,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
aWGeF,323.2,0.0424,0.1297,101,1076.8,Sairi et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAoLEA,NC(N)=[NH2+].O=S(=O)([O-])C(F)(F)F,guanidinium trifluoromethanesulfonate
