setid,"Temperature, K","MolaRity of N,N-dihexyloctanamide, mol/dm3","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HdrRW,293,0.4,101,1345.7,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,293,0.8,101,1262.6,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,293,1.1,101,1203.2,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,293,1.6,101,1093.7,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,298,0.4,101,1341.1,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,298,0.8,101,1258.2,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,298,1.1,101,1198.9,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,298,1.6,101,1089.7,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,303,0.4,101,1336.4,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HdrRW,303,0.8,101,1253.7,Rout et al. (2017),Density,Liquid,ABHvLN,CCCCCCCC(=O)N(CCCCCC)CCCCCC,"N,N-dihexyloctanamide",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
