setid,"Solvent: MolaLity of N,N,N-trimethyl-1-decanaminium bromide, mol/kg","MolaLity of hexanenitrile, mol/kg","Pressure, kPa","Temperature, K","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VAygh,0,0.02002,101,298,-0.281,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
VAygh,0.03666,0.01999,101,298,-0.28,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
VAygh,0.05981,0.02002,101,298,-0.32,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
VAygh,0.06217,0.01999,101,298,-0.32,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
VAygh,0.07938,0.02001,101,298,-0.33,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
VAygh,0.1,0.02003,101,298,-0.352,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
VAygh,0.1197,0.01994,101,298,-0.36,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
VAygh,0.1243,0.02,101,298,-0.371,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
VAygh,0.1515,0.01999,101,298,-0.38,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
VAygh,0.1649,0.01999,101,298,-0.384,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
VAygh,0.2103,0.01999,101,298,-0.4,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
VAygh,0.255,0.01997,101,298,-0.403,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
VAygh,0.2697,0.02003,101,298,-0.41,De Lisi et al. (1989a),Density,Liquid,AASjJB,CCCCCC#N,hexanenitrile,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
