setid,Weight fraction of 1-methyl-3-propylimidazolium bromide,Weight fraction of cesium carbonate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GUvwv,0.0166,0.0301,298.15,101,1026.64,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.0167,0.0599,298.15,101,1053.41,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.0171,0,298.15,101,1001.14,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.0342,0,298.15,101,1005.32,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.0342,0.0599,298.15,101,1057.89,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.0343,0.0299,298.15,101,1030.97,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.051,0.0299,298.15,101,1035.24,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.0512,0,298.15,101,1009.54,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.0512,0.06,298.15,101,1062.44,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.0683,0,298.15,101,1013.8,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.0683,0.03005,298.15,101,1039.79,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.0684,0.06,298.15,101,1067.1,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.0854,0.0299,298.15,101,1044.09,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.0854,0.0601,298.15,101,1071.78,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.0863,0,298.15,101,1018.39,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.1026,0,298.15,101,1022.55,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.1026,0.06,298.15,101,1076.52,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
GUvwv,0.1031,0.03,298.15,101,1048.87,Yin et al. (2013),Density,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
