setid,"MolaLity of 1-hexyl-3-methyl-1H-imidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tdgWa,0,101,298.15,799.56,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
tdgWa,0.01501,101,298.15,800.7,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
tdgWa,0.03127,101,298.15,801.91,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
tdgWa,0.04951,101,298.15,803.25,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
tdgWa,0.09881,101,298.15,806.82,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
tdgWa,0.1364,101,298.15,809.48,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
tdgWa,0.1534,101,298.15,810.68,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
tdgWa,0.1949,101,298.15,813.55,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
tdgWa,0.2365,101,298.15,816.37,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
tdgWa,0.3266,101,298.15,822.36,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
tdgWa,0.3853,101,298.15,826.17,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
tdgWa,0.4913,101,298.15,832.84,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
tdgWa,0.5877,101,298.15,838.7,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
