setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hKhPj,293.15,0,101,1100.22,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,293.15,0.00417,101,1100.42,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,293.15,0.00643,101,1100.53,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,293.15,0.00951,101,1100.68,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,293.15,0.01236,101,1100.82,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,293.15,0.015,101,1100.95,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,293.15,0.01784,101,1101.09,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,293.15,0.02066,101,1101.23,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,293.15,0.02307,101,1101.35,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,293.15,0.02628,101,1101.51,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,293.15,0.02848,101,1101.62,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,303.15,0,101,1090.36,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,303.15,0.00497,101,1090.6,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,303.15,0.00823,101,1090.76,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,303.15,0.01126,101,1090.91,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,303.15,0.01409,101,1091.05,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,303.15,0.01689,101,1091.19,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,303.15,0.02008,101,1091.35,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,303.15,0.02326,101,1091.51,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,303.15,0.02642,101,1091.67,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,303.15,0.02917,101,1091.82,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,303.15,0.03153,101,1091.94,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,308.15,0,101,1085.41,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,308.15,0.00514,101,1085.66,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,308.15,0.00817,101,1085.81,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,308.15,0.01139,101,1085.97,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,308.15,0.01418,101,1086.11,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,308.15,0.01696,101,1086.25,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,308.15,0.01992,101,1086.41,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,308.15,0.02347,101,1086.59,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,308.15,0.0264,101,1086.74,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,308.15,0.02914,101,1086.88,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hKhPj,308.15,0.03167,101,1087.01,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
