setid,"Temperature, K",Mole fraction of 1-butylpyridinium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jmfbi,298.15,0,100,997.1,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,298.15,0.03,100,1068.5,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,298.15,0.06,100,1118.5,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,298.15,0.09,100,1154.8,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,298.15,0.13,100,1189.9,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,298.15,0.17,100,1214.8,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,298.15,0.211,100,1233.8,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,298.15,0.25,100,1247.8,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,298.15,0.291,100,1259.5,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,298.15,0.332,100,1268.9,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,298.15,0.377,100,1277.4,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,303.15,0,100,995.7,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,303.15,0.03,100,1066.2,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,303.15,0.06,100,1115.6,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,303.15,0.09,100,1151.6,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
jmfbi,303.15,0.13,100,1186.5,Krolikowska et al. (2019b),Density,Liquid,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,AADYJk,O,water,,,
