setid,Solvent: Mole fraction of tetrahydrofuran,"MolaLity of tetrahexylammonium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
voxUA,0,0,101,298.15,1199.2,Zhao et al. (2016),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AANtst,C1CCOC1,tetrahydrofuran,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
voxUA,0,0.0097,101,298.15,1198.1,Zhao et al. (2016),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AANtst,C1CCOC1,tetrahydrofuran,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
voxUA,0,0.02384,101,298.15,1196.5,Zhao et al. (2016),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AANtst,C1CCOC1,tetrahydrofuran,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
voxUA,0,0.0381,101,298.15,1194.9,Zhao et al. (2016),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AANtst,C1CCOC1,tetrahydrofuran,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
voxUA,0,0.04908,101,298.15,1193.7,Zhao et al. (2016),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AANtst,C1CCOC1,tetrahydrofuran,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
voxUA,0,0.05501,101,298.15,1193,Zhao et al. (2016),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AANtst,C1CCOC1,tetrahydrofuran,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
voxUA,0,0.06993,101,298.15,1191.4,Zhao et al. (2016),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AANtst,C1CCOC1,tetrahydrofuran,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
voxUA,0.2,0,101,298.15,1140.6,Zhao et al. (2016),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AANtst,C1CCOC1,tetrahydrofuran,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
voxUA,0.2,0.01648,101,298.15,1139.5,Zhao et al. (2016),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AANtst,C1CCOC1,tetrahydrofuran,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
voxUA,0.2,0.02377,101,298.15,1138.9,Zhao et al. (2016),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AANtst,C1CCOC1,tetrahydrofuran,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
voxUA,0.2,0.03427,101,298.15,1138.1,Zhao et al. (2016),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AANtst,C1CCOC1,tetrahydrofuran,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
voxUA,0.2,0.04936,101,298.15,1137,Zhao et al. (2016),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AANtst,C1CCOC1,tetrahydrofuran,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
voxUA,0.2,0.06668,101,298.15,1135.7,Zhao et al. (2016),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AANtst,C1CCOC1,tetrahydrofuran,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
voxUA,0.4,0,101,298.15,1079,Zhao et al. (2016),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AANtst,C1CCOC1,tetrahydrofuran,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
voxUA,0.4,0.01407,101,298.15,1078.5,Zhao et al. (2016),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AANtst,C1CCOC1,tetrahydrofuran,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
voxUA,0.4,0.0234,101,298.15,1078.2,Zhao et al. (2016),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AANtst,C1CCOC1,tetrahydrofuran,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
voxUA,0.4,0.03589,101,298.15,1077.7,Zhao et al. (2016),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AANtst,C1CCOC1,tetrahydrofuran,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
voxUA,0.4,0.05114,101,298.15,1077.2,Zhao et al. (2016),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AANtst,C1CCOC1,tetrahydrofuran,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
