setid,"MolaLity of 2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol, mol/kg","Solvent: MolaLity of 1-pentyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
AMRbs,0,0,85.9,298.15,944,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0,0.0233,85.9,298.15,946.7,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0,0.1309,85.9,298.15,955.7,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0,0.3224,85.9,298.15,970.9,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.0286,0.3224,85.9,298.15,972.2,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.0293,0.0233,85.9,298.15,948.1,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.0293,0.1309,85.9,298.15,957.2,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.0304,0,85.9,298.15,945.6,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.0451,0,85.9,298.15,946.3,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,0.0479,0.3224,85.9,298.15,973.1,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
