setid,"Temperature, K",Mole fraction of butan-1-ol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aPAAm,298.15,0,101,1013.4,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,298.15,0.0464,101,1009.7,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,298.15,0.0945,101,1005.78,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,298.15,0.1898,101,996.95,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,298.15,0.299,101,985.02,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,298.15,0.4012,101,971.68,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,298.15,0.4989,101,956.51,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,298.15,0.5996,101,937.73,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,298.15,0.6947,101,916.35,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,298.15,0.7995,101,886.99,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,298.15,0.8965,101,853.09,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,298.15,0.9464,101,832.26,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,298.15,1,101,805.71,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,313.15,0,101,1005.1,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,313.15,0.0464,101,1001.33,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,313.15,0.0945,101,997.32,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,313.15,0.1898,101,988.39,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,313.15,0.299,101,976.31,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,313.15,0.4012,101,962.8,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,313.15,0.4989,101,947.43,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,313.15,0.5996,101,928.48,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,313.15,0.6947,101,906.78,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,313.15,0.7995,101,876.87,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,313.15,0.8965,101,842.42,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,313.15,0.9464,101,821.2,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,313.15,1,101,794.12,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,328.15,0,101,996.8,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,328.15,0.0464,101,993.03,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,328.15,0.0945,101,988.98,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,328.15,0.1898,101,979.92,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,328.15,0.299,101,967.69,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,328.15,0.4012,101,954.02,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,328.15,0.4989,101,938.44,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,328.15,0.5996,101,919.23,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,328.15,0.6947,101,897.17,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
aPAAm,328.15,0.7995,101,866.72,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
