setid,"MolaLity of 1-hexyl-3-methylimidazolium chloride, mol/kg","Solvent: MolaLity of N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ohrEE,0,0,298.15,100,936.3,Shekaari et al. (2015a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ohrEE,0,0.0471,298.15,100,937.7,Shekaari et al. (2015a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ohrEE,0,0.091,298.15,100,939.1,Shekaari et al. (2015a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ohrEE,0,0.1327,298.15,100,940.3,Shekaari et al. (2015a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ohrEE,0,0.1768,298.15,100,941.8,Shekaari et al. (2015a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ohrEE,0.0207,0.0471,298.15,100,938.3,Shekaari et al. (2015a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ohrEE,0.0208,0.1327,298.15,100,940.9,Shekaari et al. (2015a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ohrEE,0.0226,0,298.15,100,936.9,Shekaari et al. (2015a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ohrEE,0.0269,0.091,298.15,100,939.9,Shekaari et al. (2015a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ohrEE,0.028,0.1768,298.15,100,942.7,Shekaari et al. (2015a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
