setid,"Temperature, K",Mole fraction of propylammonium formate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
pkWWO,293.15,0.0974,100,1027.24,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,293.15,0.1992,100,1030.57,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,293.15,0.3006,100,1027.11,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,293.15,0.3936,100,1022.71,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,293.15,0.4816,100,1017.9,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,293.15,0.571,100,1012.7,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,293.15,0.7162,100,1005.72,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,293.15,0.7544,100,1004.03,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,293.15,0.8964,100,999.14,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,293.15,0.9495,100,997.67,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,293.15,1,100,996.1,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,298.15,0.0974,100,1024.78,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,298.15,0.1992,100,1027.8,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,298.15,0.3006,100,1024.28,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,298.15,0.3936,100,1019.89,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,298.15,0.4816,100,1015.08,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,298.15,0.571,100,1009.76,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
pkWWO,298.15,0.7162,100,1002.99,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
