setid,"MolaLity of 1-hexyl-3-methylimidazolium trifluoromethanesulfonate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wZkez,0.051,101,323.15,783.95,Gonzalez et al. (2014a),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
wZkez,0.102,101,323.15,788.64,Gonzalez et al. (2014a),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
wZkez,0.153,101,323.15,793.14,Gonzalez et al. (2014a),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
wZkez,0.234,101,323.15,800.17,Gonzalez et al. (2014a),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
wZkez,0.296,101,323.15,805.3,Gonzalez et al. (2014a),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
wZkez,0.306,101,323.15,806.08,Gonzalez et al. (2014a),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
wZkez,0.355,101,323.15,810.02,Gonzalez et al. (2014a),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
wZkez,0.401,101,323.15,813.72,Gonzalez et al. (2014a),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
wZkez,0.448,101,323.15,817.38,Gonzalez et al. (2014a),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
wZkez,0.518,101,323.15,822.69,Gonzalez et al. (2014a),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
wZkez,0.62,101,323.15,830.19,Gonzalez et al. (2014a),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
wZkez,0.707,101,323.15,836.34,Gonzalez et al. (2014a),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
wZkez,0.804,101,323.15,843.03,Gonzalez et al. (2014a),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
wZkez,0.905,101,323.15,849.7,Gonzalez et al. (2014a),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
wZkez,1.012,101,323.15,856.34,Gonzalez et al. (2014a),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
