setid,Mole fraction of 1-butyl-3-methylimidazolium methyl sulfate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
iXFVo,0,298.15,100,776.6,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAHueB,CC#N,acetonitrile,,,
iXFVo,0,303.15,100,771.2,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAHueB,CC#N,acetonitrile,,,
iXFVo,0,308.15,100,765.8,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAHueB,CC#N,acetonitrile,,,
iXFVo,0,313.15,100,760.3,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAHueB,CC#N,acetonitrile,,,
iXFVo,0.107,298.15,100,927,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAHueB,CC#N,acetonitrile,,,
iXFVo,0.107,303.15,100,922.3,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAHueB,CC#N,acetonitrile,,,
iXFVo,0.107,308.15,100,917.6,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAHueB,CC#N,acetonitrile,,,
iXFVo,0.107,313.15,100,912.9,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAHueB,CC#N,acetonitrile,,,
iXFVo,0.2018,298.15,100,1007.5,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAHueB,CC#N,acetonitrile,,,
iXFVo,0.2018,303.15,100,1003.2,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAHueB,CC#N,acetonitrile,,,
iXFVo,0.2018,308.15,100,998.8,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAHueB,CC#N,acetonitrile,,,
iXFVo,0.2018,313.15,100,994.5,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAHueB,CC#N,acetonitrile,,,
iXFVo,0.3135,298.15,100,1069.6,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAHueB,CC#N,acetonitrile,,,
iXFVo,0.3135,303.15,100,1065.6,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAHueB,CC#N,acetonitrile,,,
iXFVo,0.3135,308.15,100,1061.5,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAHueB,CC#N,acetonitrile,,,
iXFVo,0.3135,313.15,100,1057.5,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAHueB,CC#N,acetonitrile,,,
iXFVo,0.4127,298.15,100,1107.8,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAHueB,CC#N,acetonitrile,,,
iXFVo,0.4127,303.15,100,1104,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAHueB,CC#N,acetonitrile,,,
iXFVo,0.4127,308.15,100,1100.1,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAHueB,CC#N,acetonitrile,,,
iXFVo,0.4127,313.15,100,1096.3,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAHueB,CC#N,acetonitrile,,,
iXFVo,0.5049,298.15,100,1134.4,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAHueB,CC#N,acetonitrile,,,
iXFVo,0.5049,303.15,100,1130.7,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAHueB,CC#N,acetonitrile,,,
iXFVo,0.5049,308.15,100,1127,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAHueB,CC#N,acetonitrile,,,
iXFVo,0.5049,313.15,100,1123.3,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAHueB,CC#N,acetonitrile,,,
iXFVo,0.6053,298.15,100,1156.8,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAHueB,CC#N,acetonitrile,,,
iXFVo,0.6053,303.15,100,1153.2,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAHueB,CC#N,acetonitrile,,,
