setid,"Temperature, K","MolaRity of 1-butyl-3-methylimidazolium tetrafluoroborate, mol/dm3","Pressure, kPa","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dLJXG,298.15,0.00663,100,0.12,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,298.15,0.0112,100,0.29,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,298.15,0.0185,100,0.42,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,298.15,0.0285,100,0.51,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,298.15,0.037,100,0.45,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,298.15,0.0442,100,0.61,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,298.15,0.056,100,0.7,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,298.15,0.0793,100,0.59,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,298.15,0.084,100,0.81,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,298.15,0.122,100,0.74,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,318.15,0.00651,100,0.3,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,318.15,0.011,100,0.5,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,318.15,0.0182,100,0.51,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,318.15,0.028,100,0.65,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,318.15,0.0364,100,0.73,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,318.15,0.0434,100,0.75,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,318.15,0.055,100,0.88,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,318.15,0.0779,100,0.79,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,318.15,0.0826,100,1.1,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
dLJXG,318.15,0.1199,100,1.09,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
