setid,"Temperature, K","Pressure, kPa",Mole fraction of 4-oxopentanoic acid,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QhAgm,293.15,101,0.75,1034.5,Li et al. (2016a),Density,Liquid,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
QhAgm,298.15,101,0.75,1031,Li et al. (2016a),Density,Liquid,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
QhAgm,303.15,101,0.75,1027.3,Li et al. (2016a),Density,Liquid,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
QhAgm,308.15,101,0.75,1023.8,Li et al. (2016a),Density,Liquid,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
QhAgm,313.15,101,0.75,1020.3,Li et al. (2016a),Density,Liquid,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
QhAgm,318.15,101,0.75,1016.7,Li et al. (2016a),Density,Liquid,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
QhAgm,323.15,101,0.75,1013.1,Li et al. (2016a),Density,Liquid,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
QhAgm,328.15,101,0.75,1009.5,Li et al. (2016a),Density,Liquid,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
QhAgm,333.15,101,0.75,1006,Li et al. (2016a),Density,Liquid,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
QhAgm,338.15,101,0.75,1002.5,Li et al. (2016a),Density,Liquid,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
QhAgm,343.15,101,0.75,998.9,Li et al. (2016a),Density,Liquid,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
