setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium thiocyanate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MNZtT,298.15,0,100,1059,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
MNZtT,298.15,0.299,100,1084,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
MNZtT,298.15,0.39,100,1082,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
MNZtT,298.15,0.754,100,1077,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
MNZtT,298.15,0.857,100,1075,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
MNZtT,298.15,0.897,100,1073,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
MNZtT,298.15,1,100,1070,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
MNZtT,308.15,0,100,1047,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
MNZtT,308.15,0.299,100,1076,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
MNZtT,308.15,0.39,100,1075,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
MNZtT,308.15,0.754,100,1070,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
MNZtT,308.15,0.857,100,1068,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
MNZtT,308.15,0.897,100,1067,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
MNZtT,308.15,1,100,1064,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
MNZtT,318.15,0,100,1034,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
MNZtT,318.15,0.299,100,1069,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
MNZtT,318.15,0.39,100,1068,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
MNZtT,318.15,0.754,100,1064,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
MNZtT,318.15,0.857,100,1062,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
MNZtT,318.15,0.897,100,1061,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
MNZtT,318.15,1,100,1058,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
MNZtT,328.15,0,100,1022,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
MNZtT,328.15,0.299,100,1061,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
MNZtT,328.15,0.39,100,1061,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
MNZtT,328.15,0.754,100,1058,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
MNZtT,328.15,0.857,100,1056,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
MNZtT,328.15,0.897,100,1055,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
MNZtT,328.15,1,100,1052,Batista et al. (2014),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
