setid,"Pressure, kPa","Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium thiocyanate,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mpOuS,100,298.15,0,785.6,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,298.15,0.0504,832.7,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,298.15,0.1005,870.3,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,298.15,0.2011,930.1,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,298.15,0.2995,973.5,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,298.15,0.3991,1007.7,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,298.15,0.4984,1034.4,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,298.15,0.5989,1056.6,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,298.15,0.699,1074.8,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,298.15,0.7966,1089.7,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,298.15,0.8998,1103.3,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,298.15,0.949,1108.7,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,298.15,1,1114,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,303.15,0,781.3,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,303.15,0.0504,828.5,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,303.15,0.1005,866.4,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,303.15,0.2011,926.3,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,303.15,0.2995,969.8,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,303.15,0.3991,1004.1,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,303.15,0.4984,1031.1,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,303.15,0.5989,1053.3,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,303.15,0.699,1071.4,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,303.15,0.7966,1086.5,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,303.15,0.8998,1100,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,303.15,0.949,1105.4,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,303.15,1,1110.7,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,308.15,0,776.9,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,308.15,0.0504,824.2,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,308.15,0.1005,862.4,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,308.15,0.2011,922.5,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,308.15,0.2995,966.1,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,308.15,0.3991,1000.7,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,308.15,0.4984,1027.7,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,308.15,0.5989,1050,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,308.15,0.699,1068.4,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,308.15,0.7966,1083.2,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,308.15,0.8998,1096.8,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,308.15,0.949,1102.3,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,100,308.15,1,1107.5,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
mpOuS,5000,298.15,0,790,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAIsrh,CCO,ethanol,,,
