setid,"Temperature, K","Pressure, kPa",Mole fraction of trimethylbenzylammonium chloride,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tlVzR,283.15,100,0.25,1120,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAUVWV,OCCOCCO,diethylene glycol,,,
tlVzR,288.15,100,0.25,1117,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAUVWV,OCCOCCO,diethylene glycol,,,
tlVzR,293.15,100,0.25,1114,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAUVWV,OCCOCCO,diethylene glycol,,,
tlVzR,298.15,100,0.25,1111,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAUVWV,OCCOCCO,diethylene glycol,,,
tlVzR,303.15,100,0.25,1107,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAUVWV,OCCOCCO,diethylene glycol,,,
tlVzR,308.15,100,0.25,1104,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAUVWV,OCCOCCO,diethylene glycol,,,
tlVzR,313.15,100,0.25,1101,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAUVWV,OCCOCCO,diethylene glycol,,,
tlVzR,318.15,100,0.25,1098,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAUVWV,OCCOCCO,diethylene glycol,,,
tlVzR,323.15,100,0.25,1095,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAUVWV,OCCOCCO,diethylene glycol,,,
tlVzR,328.15,100,0.25,1092,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAUVWV,OCCOCCO,diethylene glycol,,,
tlVzR,333.15,100,0.25,1089,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAUVWV,OCCOCCO,diethylene glycol,,,
tlVzR,338.15,100,0.25,1086,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAUVWV,OCCOCCO,diethylene glycol,,,
tlVzR,343.15,100,0.25,1083,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAUVWV,OCCOCCO,diethylene glycol,,,
