setid,"Temperature, K",Weight fraction of piperazine,Weight fraction of 1-ethyl-3-methylimidazolium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gWQEq,313.15,0,0.3,100,1035.2,Li et al. (2014g),Density,Liquid,AAQdRr,C1CNCCN1,piperazine,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
gWQEq,313.15,0.1,0.3,100,1040.6,Li et al. (2014g),Density,Liquid,AAQdRr,C1CNCCN1,piperazine,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
gWQEq,313.15,0.2,0.3,100,1045.8,Li et al. (2014g),Density,Liquid,AAQdRr,C1CNCCN1,piperazine,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
gWQEq,313.15,0.3,0,100,1019.1,Li et al. (2014g),Density,Liquid,AAQdRr,C1CNCCN1,piperazine,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
gWQEq,313.15,0.3,0.1,100,1031.4,Li et al. (2014g),Density,Liquid,AAQdRr,C1CNCCN1,piperazine,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
gWQEq,313.15,0.3,0.2,100,1040.5,Li et al. (2014g),Density,Liquid,AAQdRr,C1CNCCN1,piperazine,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
gWQEq,313.15,0.3,0.3,100,1051.4,Li et al. (2014g),Density,Liquid,AAQdRr,C1CNCCN1,piperazine,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
gWQEq,323.15,0,0.3,100,1027.8,Li et al. (2014g),Density,Liquid,AAQdRr,C1CNCCN1,piperazine,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
gWQEq,323.15,0.1,0.3,100,1033.4,Li et al. (2014g),Density,Liquid,AAQdRr,C1CNCCN1,piperazine,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
gWQEq,323.15,0.2,0.3,100,1037.9,Li et al. (2014g),Density,Liquid,AAQdRr,C1CNCCN1,piperazine,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
