setid,"Temperature, K",Mole fraction of ethanol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eZdqw,298.15,0,101,1097.8,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
eZdqw,298.15,0.1059,101,1086.8,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
eZdqw,298.15,0.1638,101,1079.7,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
eZdqw,298.15,0.2471,101,1068.1,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
eZdqw,298.15,0.3504,101,1051.2,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
eZdqw,298.15,0.4165,101,1038.7,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
eZdqw,298.15,0.4824,101,1024.9,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
eZdqw,298.15,0.5572,101,1006.9,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
eZdqw,298.15,0.6646,101,975.1,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
eZdqw,298.15,0.7494,101,945.2,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
