setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium dicyanamide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VVwgB,293.15,0.0516,101.3,809.04,Calvar et al. (2012c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
VVwgB,293.15,0.1009,101.3,811.17,Calvar et al. (2012c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
VVwgB,293.15,0.1501,101.3,813.3,Calvar et al. (2012c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
VVwgB,293.15,0.2081,101.3,815.7,Calvar et al. (2012c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
VVwgB,293.15,0.2579,101.3,817.76,Calvar et al. (2012c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
VVwgB,293.15,0.5079,101.3,827.23,Calvar et al. (2012c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
VVwgB,293.15,0.7631,101.3,836.25,Calvar et al. (2012c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
VVwgB,293.15,1.0156,101.3,844.37,Calvar et al. (2012c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
VVwgB,293.15,1.2668,101.3,851.96,Calvar et al. (2012c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
VVwgB,293.15,1.5166,101.3,858.95,Calvar et al. (2012c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
VVwgB,293.15,1.7824,101.3,865.94,Calvar et al. (2012c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
VVwgB,293.15,1.9503,101.3,870.16,Calvar et al. (2012c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
VVwgB,293.15,2.5233,101.3,883.17,Calvar et al. (2012c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
VVwgB,293.15,3.5596,101.3,902.51,Calvar et al. (2012c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
VVwgB,308.15,0.0516,101.3,796.59,Calvar et al. (2012c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
VVwgB,308.15,0.1009,101.3,798.81,Calvar et al. (2012c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
VVwgB,308.15,0.1501,101.3,801.01,Calvar et al. (2012c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
VVwgB,308.15,0.2081,101.3,803.5,Calvar et al. (2012c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
VVwgB,308.15,0.2579,101.3,805.61,Calvar et al. (2012c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
VVwgB,308.15,0.5079,101.3,815.35,Calvar et al. (2012c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
VVwgB,308.15,0.7631,101.3,824.57,Calvar et al. (2012c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
VVwgB,308.15,1.0156,101.3,832.86,Calvar et al. (2012c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
VVwgB,308.15,1.2668,101.3,840.59,Calvar et al. (2012c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
