setid,"Temperature, K","Pressure, kPa",Weight fraction of water,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ePcIn,293.15,101,0.001,1520,Jacquemin et al. (2008b),Density,Liquid,AADYJk,O,water,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
ePcIn,298.15,101,0.001,1515,Jacquemin et al. (2008b),Density,Liquid,AADYJk,O,water,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
ePcIn,303.15,101,0.001,1510,Jacquemin et al. (2008b),Density,Liquid,AADYJk,O,water,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
ePcIn,308.15,101,0.001,1504.9,Jacquemin et al. (2008b),Density,Liquid,AADYJk,O,water,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
ePcIn,313.15,101,0.001,1499.8,Jacquemin et al. (2008b),Density,Liquid,AADYJk,O,water,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
ePcIn,318.15,101,0.001,1494.8,Jacquemin et al. (2008b),Density,Liquid,AADYJk,O,water,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
ePcIn,323.15,101,0.001,1489.8,Jacquemin et al. (2008b),Density,Liquid,AADYJk,O,water,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
ePcIn,328.15,101,0.001,1484.8,Jacquemin et al. (2008b),Density,Liquid,AADYJk,O,water,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
ePcIn,333.15,101,0.001,1479.7,Jacquemin et al. (2008b),Density,Liquid,AADYJk,O,water,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
ePcIn,338.15,101,0.001,1474.7,Jacquemin et al. (2008b),Density,Liquid,AADYJk,O,water,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
ePcIn,343.15,101,0.001,1469.7,Jacquemin et al. (2008b),Density,Liquid,AADYJk,O,water,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
