setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium trifluoromethanesulfonate,Mole fraction of dimethylformamide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YEGFw,298.15,0.4767,0.2567,100,1271.5,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,298.15,0.5094,0.2057,100,1284.15,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,298.15,0.535,0.1852,100,1292.47,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,298.15,0.5619,0.1637,100,1301.2,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,298.15,0.6035,0.1248,100,1314.4,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,298.15,0.6337,0.1005,100,1322.9,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,298.15,0.6678,0.0847,100,1330.8,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,298.15,0.704,0.0679,100,1338.5,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,298.15,0.7396,0.0398,100,1347,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,298.15,0.7714,0.0306,100,1352.4,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,298.15,0.7924,0.0208,100,1356.6,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,303.15,0.034,0.8948,100,984.54,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
YEGFw,303.15,0.0662,0.8449,100,1017.99,Anwar et al. (2018),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AALwIY,OCCO,"1,2-ethanediol",AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
