setid,"Temperature, K","MolaLity of 1-ethyl-3-methylimidazolium hydrogen sulfate, mol/kg",Solvent: Weight fraction of lithium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ifDMp,293.15,0.0359,0.15,87,1118.3,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.0362,0.1,87,1076.7,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.0366,0.05,87,1037.6,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.0677,0.1,87,1079.1,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.0682,0.05,87,1039.8,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.0685,0.15,87,1121,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.1013,0.15,87,1123.6,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.1026,0.05,87,1042.2,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.103,0.1,87,1081.7,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.1383,0.1,87,1084.2,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.1388,0.05,87,1044.6,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.1389,0.15,87,1126.4,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.1713,0.05,87,1046.8,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.1719,0.15,87,1128.8,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.1731,0.1,87,1086.7,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.2047,0.1,87,1088.9,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.205,0.15,87,1131.2,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.2055,0.05,87,1049,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.2389,0.05,87,1051.2,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.2391,0.1,87,1091.2,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.2405,0.15,87,1133.7,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.2727,0.15,87,1135.9,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.2729,0.05,87,1053.3,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.2733,0.1,87,1093.5,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.3037,0.05,87,1055.3,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.3042,0.15,87,1138.1,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.3064,0.1,87,1095.8,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.3359,0.1,87,1097.8,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.3372,0.05,87,1057.5,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,293.15,0.3372,0.15,87,1140.4,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,298.15,0.0359,0.15,87,1116.7,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,298.15,0.0362,0.1,87,1075.3,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,298.15,0.0366,0.05,87,1036.2,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,298.15,0.0677,0.1,87,1077.6,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,298.15,0.0682,0.05,87,1038.5,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,298.15,0.0685,0.15,87,1119.3,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,298.15,0.1013,0.15,87,1121.9,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,298.15,0.1026,0.05,87,1040.8,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,298.15,0.103,0.1,87,1080.2,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,298.15,0.1383,0.1,87,1082.6,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,298.15,0.1388,0.05,87,1043.2,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
ifDMp,298.15,0.1389,0.15,87,1124.6,Rafiee and Frouzesh (2016c),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
