setid,"Temperature, K",Weight fraction of 1-methyl-3-propylimidazolium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hRFEM,288.15,0,101,953.442,Sadeghi et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
hRFEM,288.15,0.006,101,955.471,Sadeghi et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
hRFEM,288.15,0.0073,101,955.896,Sadeghi et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
hRFEM,288.15,0.0101,101,956.834,Sadeghi et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
hRFEM,288.15,0.012,101,957.413,Sadeghi et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
hRFEM,288.15,0.0162,101,958.776,Sadeghi et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
hRFEM,288.15,0.0204,101,960.154,Sadeghi et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
hRFEM,288.15,0.0249,101,961.605,Sadeghi et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
hRFEM,288.15,0.0303,101,963.324,Sadeghi et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
hRFEM,288.15,0.0348,101,964.79,Sadeghi et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
