setid,"Temperature, K","MolaLity of tetradecyltrimethylammonium nitrate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Sxzcx,283.1,0.001167,101.325,999.7,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,283.1,0.001528,101.325,999.7,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,283.1,0.001958,101.325,999.7,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,283.1,0.002447,101.325,999.701,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,283.1,0.003049,101.325,999.701,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,283.1,0.004374,101.325,999.687,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,283.1,0.006177,101.325,999.671,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,283.1,0.008738,101.325,999.642,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,283.1,0.009946,101.325,999.624,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,283.1,0.01207,101.325,999.602,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,283.1,0.01514,101.325,999.561,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,283.1,0.018042,101.325,999.535,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,283.1,0.01992,101.325,999.513,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,288.15,0.001167,101.325,999.098,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,288.15,0.001528,101.325,999.098,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,288.15,0.001958,101.325,999.098,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,288.15,0.002447,101.325,999.097,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,288.15,0.003049,101.325,999.096,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,288.15,0.004374,101.325,999.079,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,288.15,0.006177,101.325,999.059,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,288.15,0.008738,101.325,999.027,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,288.15,0.009946,101.325,999.006,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,288.15,0.01207,101.325,998.982,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,288.15,0.01514,101.325,998.938,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,288.15,0.018042,101.325,998.907,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
Sxzcx,288.15,0.01992,101.325,998.88,Galan et al. (2003),Density,Liquid,AADYJk,O,water,ABJNAq,CCCCCCCCCCCCCC[N+](C)(C)C.O=[N+]([O-])[O-],tetradecyltrimethylammonium nitrate,,,
