setid,"Solvent: MolaLity of sodium dodecyl sulfate, mol/kg","MolaLity of butan-1-ol, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XBtjG,0,0.11451,101,298.15,995.675,Roux-Desgranges et al. (1982),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
XBtjG,0,0.18161,101,298.15,994.895,Roux-Desgranges et al. (1982),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
XBtjG,0,0.30435,101,298.15,993.536,Roux-Desgranges et al. (1982),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
XBtjG,0,0.37365,101,298.15,992.787,Roux-Desgranges et al. (1982),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
XBtjG,0,0.45885,101,298.15,991.928,Roux-Desgranges et al. (1982),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
XBtjG,0,0.57343,101,298.15,990.743,Roux-Desgranges et al. (1982),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
XBtjG,0,0.73009,101,298.15,989.239,Roux-Desgranges et al. (1982),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
XBtjG,0,0.84601,101,298.15,988.123,Roux-Desgranges et al. (1982),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
XBtjG,0,1.0126,101,298.15,986.587,Roux-Desgranges et al. (1982),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
XBtjG,0.0020056,0,101,298.15,997.152,Roux-Desgranges et al. (1982),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
XBtjG,0.0020056,0.094328,101,298.15,996.01,Roux-Desgranges et al. (1982),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
XBtjG,0.0020056,0.15881,101,298.15,995.258,Roux-Desgranges et al. (1982),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
XBtjG,0.0020056,0.27057,101,298.15,994.004,Roux-Desgranges et al. (1982),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
XBtjG,0.0020056,0.44618,101,298.15,992.12,Roux-Desgranges et al. (1982),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
XBtjG,0.0020056,0.62284,101,298.15,990.312,Roux-Desgranges et al. (1982),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
