setid,"Temperature, K",Weight fraction of N-methyldiethanolamine,Weight fraction of piperazine,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DdPvH,313.15,0.235,0.051,101,1031.2,Foo et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAQdRr,C1CNCCN1,piperazine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
DdPvH,313.15,0.2374,0.0515,101,1020.6,Foo et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAQdRr,C1CNCCN1,piperazine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
DdPvH,313.15,0.2378,0.0516,101,1018.8,Foo et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAQdRr,C1CNCCN1,piperazine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
DdPvH,313.15,0.2392,0.0521,101,1012.2,Foo et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAQdRr,C1CNCCN1,piperazine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
DdPvH,313.15,0.2395,0.0519,101,1011.4,Foo et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAQdRr,C1CNCCN1,piperazine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
DdPvH,313.15,0.4682,0.0508,101,1035.7,Foo et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAQdRr,C1CNCCN1,piperazine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
DdPvH,313.15,0.4703,0.0501,101,1031,Foo et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAQdRr,C1CNCCN1,piperazine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
DdPvH,313.15,0.4711,0.0511,101,1030,Foo et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAQdRr,C1CNCCN1,piperazine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
DdPvH,313.15,0.4731,0.2243,101,1024.4,Foo et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAQdRr,C1CNCCN1,piperazine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
DdPvH,313.15,0.4741,0.0514,101,1022.1,Foo et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAQdRr,C1CNCCN1,piperazine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
