setid,"Temperature, K","Mole fraction of 1,3-dimethylimidazolium dimethyl phosphate",Mole fraction of water,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rycud,293.15,0.1089,0.4411,100,965,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,293.15,0.2062,0.3938,100,988,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,293.15,0.3059,0.3441,100,1017,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,293.15,0.4022,0.2978,100,1044,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,293.15,0.5059,0.2451,100,1071,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,293.15,0.6002,0.1998,100,1096,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,293.15,0.7002,0.1498,100,1123,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,293.15,0.8002,0.0998,100,1148,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,293.15,0.9028,0.0472,100,1193,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,298.15,0.1089,0.4411,100,960,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,298.15,0.2062,0.3938,100,980,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
rycud,298.15,0.3059,0.3441,100,1010,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
