setid,Mole fraction of cholinium perfluorooctylsulfonate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
iBeCm,0.5,293.15,100,1684.1,Castro et al. (2020),Density,Liquid,ACMAgQ,C[N+](C)(C)CCO.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,cholinium perfluorooctylsulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
iBeCm,0.5,303.15,100,1671,Castro et al. (2020),Density,Liquid,ACMAgQ,C[N+](C)(C)CCO.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,cholinium perfluorooctylsulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
iBeCm,0.5,313.15,100,1657.8,Castro et al. (2020),Density,Liquid,ACMAgQ,C[N+](C)(C)CCO.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,cholinium perfluorooctylsulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
iBeCm,0.5,323.15,100,1644.8,Castro et al. (2020),Density,Liquid,ACMAgQ,C[N+](C)(C)CCO.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,cholinium perfluorooctylsulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
