setid,Mole fraction of 1-ethyl-3-methylimidazolium methyl sulfate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
awTjY,0,293.15,101,810,Wang et al. (2011f),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
awTjY,0.032,293.15,101,837,Wang et al. (2011f),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
awTjY,0.071,293.15,101,868,Wang et al. (2011f),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
awTjY,0.1,293.15,101,890,Wang et al. (2011f),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
awTjY,0.2306,293.15,101,978,Wang et al. (2011f),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
awTjY,0.3,293.15,101,1018,Wang et al. (2011f),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
awTjY,0.3996,293.15,101,1067,Wang et al. (2011f),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
awTjY,0.4989,293.15,101,1109,Wang et al. (2011f),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
awTjY,0.5993,293.15,101,1147,Wang et al. (2011f),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
awTjY,0.695,293.15,101,1180,Wang et al. (2011f),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
awTjY,0.7864,293.15,101,1207,Wang et al. (2011f),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
awTjY,0.9206,293.15,101,1244,Wang et al. (2011f),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
awTjY,1,293.15,101,1263,Wang et al. (2011f),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
