setid,Mole fraction of pyridine,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JKuMk,0,101,298.15,1364,Li et al. (2007c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
JKuMk,0.0964,101,298.15,1350.8,Li et al. (2007c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
JKuMk,0.1929,101,298.15,1333,Li et al. (2007c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
JKuMk,0.291,101,298.15,1313.9,Li et al. (2007c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
JKuMk,0.3899,101,298.15,1291.5,Li et al. (2007c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
JKuMk,0.4915,101,298.15,1266.2,Li et al. (2007c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
JKuMk,0.5922,101,298.15,1233.5,Li et al. (2007c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
JKuMk,0.6978,101,298.15,1193.9,Li et al. (2007c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
JKuMk,0.7695,101,298.15,1158.1,Li et al. (2007c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
JKuMk,0.8372,101,298.15,1118.1,Li et al. (2007c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
JKuMk,0.8781,101,298.15,1090,Li et al. (2007c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
