setid,"Temperature, K","MolaRity of tetraphenylphosphonium chloride, mol/dm3","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QLlhZ,308.65,0,101,775.9,Tripathi (2010),Density,Liquid,AAIsrh,CCO,ethanol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
QLlhZ,308.65,0.005,101,777.3,Tripathi (2010),Density,Liquid,AAIsrh,CCO,ethanol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
QLlhZ,308.65,0.01,101,778,Tripathi (2010),Density,Liquid,AAIsrh,CCO,ethanol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
QLlhZ,308.65,0.02,101,778.8,Tripathi (2010),Density,Liquid,AAIsrh,CCO,ethanol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
QLlhZ,308.65,0.05,101,784.2,Tripathi (2010),Density,Liquid,AAIsrh,CCO,ethanol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
QLlhZ,308.65,0.1,101,791.6,Tripathi (2010),Density,Liquid,AAIsrh,CCO,ethanol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
QLlhZ,311.65,0,101,773.4,Tripathi (2010),Density,Liquid,AAIsrh,CCO,ethanol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
QLlhZ,311.65,0.005,101,775.3,Tripathi (2010),Density,Liquid,AAIsrh,CCO,ethanol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
QLlhZ,311.65,0.01,101,775.2,Tripathi (2010),Density,Liquid,AAIsrh,CCO,ethanol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
QLlhZ,311.65,0.02,101,776.1,Tripathi (2010),Density,Liquid,AAIsrh,CCO,ethanol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
QLlhZ,311.65,0.05,101,781.9,Tripathi (2010),Density,Liquid,AAIsrh,CCO,ethanol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
QLlhZ,311.65,0.1,101,790,Tripathi (2010),Density,Liquid,AAIsrh,CCO,ethanol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
QLlhZ,314.65,0,101,770.8,Tripathi (2010),Density,Liquid,AAIsrh,CCO,ethanol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
QLlhZ,314.65,0.005,101,772.5,Tripathi (2010),Density,Liquid,AAIsrh,CCO,ethanol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
QLlhZ,314.65,0.01,101,772.2,Tripathi (2010),Density,Liquid,AAIsrh,CCO,ethanol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
QLlhZ,314.65,0.02,101,773.4,Tripathi (2010),Density,Liquid,AAIsrh,CCO,ethanol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
QLlhZ,314.65,0.05,101,779.6,Tripathi (2010),Density,Liquid,AAIsrh,CCO,ethanol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
QLlhZ,314.65,0.1,101,787.8,Tripathi (2010),Density,Liquid,AAIsrh,CCO,ethanol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
