setid,"Temperature, K",Mole fraction of aniline,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rroRk,288.15,0,100,1307,Soldatovic et al. (2017),Density,Liquid,AARvIf,Nc1ccccc1,aniline,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
rroRk,288.15,0.1,100,1295.2,Soldatovic et al. (2017),Density,Liquid,AARvIf,Nc1ccccc1,aniline,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
rroRk,288.15,0.1995,100,1283.2,Soldatovic et al. (2017),Density,Liquid,AARvIf,Nc1ccccc1,aniline,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
rroRk,288.15,0.8999,100,1092.4,Soldatovic et al. (2017),Density,Liquid,AARvIf,Nc1ccccc1,aniline,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
rroRk,288.15,1,100,1026.1,Soldatovic et al. (2017),Density,Liquid,AARvIf,Nc1ccccc1,aniline,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
rroRk,293.15,0,100,1303.1,Soldatovic et al. (2017),Density,Liquid,AARvIf,Nc1ccccc1,aniline,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
rroRk,293.15,0.1,100,1291.2,Soldatovic et al. (2017),Density,Liquid,AARvIf,Nc1ccccc1,aniline,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
rroRk,293.15,0.1995,100,1279.2,Soldatovic et al. (2017),Density,Liquid,AARvIf,Nc1ccccc1,aniline,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
rroRk,293.15,0.3002,100,1265.2,Soldatovic et al. (2017),Density,Liquid,AARvIf,Nc1ccccc1,aniline,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
rroRk,293.15,0.8999,100,1088.3,Soldatovic et al. (2017),Density,Liquid,AARvIf,Nc1ccccc1,aniline,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
