setid,"Temperature, K",Solvent: Mole fraction of ethanol,"MolaLity of choline lactate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sYhFg,288.15,0,0,87.1,999.1,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,0,0.0308,87.1,999.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,0,0.0597,87.1,1000.4,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,0,0.0931,87.1,1001.2,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,0,0.1201,87.1,1002,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,0,0.1454,87.1,1002.8,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,0,0.175,87.1,1003.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,0.089,0,87.1,971.2,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,0.089,0.0306,87.1,971.9,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,0.089,0.0633,87.1,972.8,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,0.089,0.0892,87.1,973.6,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,0.089,0.1184,87.1,974.4,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,0.089,0.1515,87.1,975.5,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,0.089,0.1773,87.1,976.3,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,0.2811,0,87.1,918.9,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,0.2811,0.0296,87.1,919.6,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,0.2811,0.0546,87.1,920.2,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,0.2811,0.0874,87.1,921.2,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,0.2811,0.1183,87.1,922,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,0.2811,0.1461,87.1,922.8,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,0.2811,0.179,87.1,923.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,0.8895,0,87.1,797.5,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,0.8895,0.0296,87.1,798.1,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,0.8895,0.0546,87.1,798.6,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,0.8895,0.0874,87.1,799.4,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,0.8895,0.1183,87.1,800.1,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,0.8895,0.1461,87.1,800.8,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,0.8895,0.179,87.1,801.6,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,1,0,87.1,793.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,1,0.0409,87.1,794.6,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,1,0.0587,87.1,795,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,1,0.0936,87.1,795.9,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,1,0.1154,87.1,796.6,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,1,0.154,87.1,797.6,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,288.15,1,0.181,87.1,798.3,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,298.15,0,0,87.1,997,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,298.15,0,0.0308,87.1,997.6,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
sYhFg,298.15,0,0.0597,87.1,998.2,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,AADYJk,O,water
