setid,"Solvent: MolaLity of 1-heptyl-3-methylimidazolium tetrafluoroborate, mol/kg","Temperature, K","MolaLity of L-aminosuccinic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
goyqU,0,288.15,0,100,999.14,Gaba et al. (2022),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
goyqU,0,288.15,0.0997,100,1003.9,Gaba et al. (2022),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
goyqU,0,288.15,0.2983,100,1012.93,Gaba et al. (2022),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
goyqU,0,288.15,0.4997,100,1021.52,Gaba et al. (2022),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
goyqU,0,288.15,0.6982,100,1029.49,Gaba et al. (2022),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
goyqU,0,288.15,0.8988,100,1037.06,Gaba et al. (2022),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
goyqU,0,288.15,0.9992,100,1040.71,Gaba et al. (2022),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
goyqU,0,298.15,0,100,997.09,Gaba et al. (2022),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
goyqU,0,298.15,0.0997,100,1001.74,Gaba et al. (2022),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
goyqU,0,298.15,0.2983,100,1010.57,Gaba et al. (2022),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
goyqU,0,298.15,0.4997,100,1019.02,Gaba et al. (2022),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
goyqU,0,298.15,0.6982,100,1026.81,Gaba et al. (2022),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
goyqU,0,298.15,0.8988,100,1034.32,Gaba et al. (2022),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
goyqU,0,298.15,0.9992,100,1037.93,Gaba et al. (2022),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
goyqU,0,308.15,0,100,994.08,Gaba et al. (2022),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
goyqU,0,308.15,0.0997,100,998.67,Gaba et al. (2022),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
goyqU,0,308.15,0.2983,100,1007.36,Gaba et al. (2022),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
