setid,"Mole fraction of 3-(3-cyanopropyl)-1-methylimidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HZSsj,0,288.15,100,1133.8,Wei et al. (2022b),Density,Liquid,ABenjd,C[n+]1ccn(CCCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3-(3-cyanopropyl)-1-methylimidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
HZSsj,0,293.15,100,1128.7,Wei et al. (2022b),Density,Liquid,ABenjd,C[n+]1ccn(CCCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3-(3-cyanopropyl)-1-methylimidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
HZSsj,0,298.15,100,1123.9,Wei et al. (2022b),Density,Liquid,ABenjd,C[n+]1ccn(CCCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3-(3-cyanopropyl)-1-methylimidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
HZSsj,0,303.15,100,1118.9,Wei et al. (2022b),Density,Liquid,ABenjd,C[n+]1ccn(CCCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3-(3-cyanopropyl)-1-methylimidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
HZSsj,0,308.15,100,1114,Wei et al. (2022b),Density,Liquid,ABenjd,C[n+]1ccn(CCCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3-(3-cyanopropyl)-1-methylimidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
HZSsj,0,313.15,100,1109.2,Wei et al. (2022b),Density,Liquid,ABenjd,C[n+]1ccn(CCCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3-(3-cyanopropyl)-1-methylimidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
HZSsj,0,318.15,100,1104.5,Wei et al. (2022b),Density,Liquid,ABenjd,C[n+]1ccn(CCCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3-(3-cyanopropyl)-1-methylimidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
HZSsj,0,323.15,100,1099.7,Wei et al. (2022b),Density,Liquid,ABenjd,C[n+]1ccn(CCCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3-(3-cyanopropyl)-1-methylimidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
HZSsj,0,328.15,100,1094.8,Wei et al. (2022b),Density,Liquid,ABenjd,C[n+]1ccn(CCCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3-(3-cyanopropyl)-1-methylimidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
HZSsj,0,333.15,100,1090,Wei et al. (2022b),Density,Liquid,ABenjd,C[n+]1ccn(CCCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3-(3-cyanopropyl)-1-methylimidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
