setid,"Temperature, K","Solvent: MolaLity of 1-butyl-3-methylimidazolium tetrafluoroborate, mol/kg","MolaLity of L-histidine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mssPn,293.15,0.02,0,100,998.96,Sharma et al. (2020),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
mssPn,293.15,0.02,0.015,100,999.84,Sharma et al. (2020),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
mssPn,293.15,0.02,0.025,100,1000.42,Sharma et al. (2020),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
mssPn,293.15,0.02,0.035,100,1000.99,Sharma et al. (2020),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
mssPn,293.15,0.02,0.045,100,1001.56,Sharma et al. (2020),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
mssPn,293.15,0.02,0.055,100,1002.13,Sharma et al. (2020),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
mssPn,293.15,0.02,0.065,100,1002.69,Sharma et al. (2020),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
mssPn,293.15,0.02,0.075,100,1003.25,Sharma et al. (2020),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
mssPn,293.15,0.02,0.085,100,1003.81,Sharma et al. (2020),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
mssPn,293.15,0.02,0.095,100,1004.37,Sharma et al. (2020),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
mssPn,293.15,0.04,0,100,999.82,Sharma et al. (2020),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
mssPn,293.15,0.04,0.015,100,1000.7,Sharma et al. (2020),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
mssPn,293.15,0.04,0.025,100,1001.28,Sharma et al. (2020),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
mssPn,293.15,0.04,0.035,100,1001.86,Sharma et al. (2020),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
mssPn,293.15,0.04,0.045,100,1002.44,Sharma et al. (2020),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
mssPn,293.15,0.04,0.055,100,1003.01,Sharma et al. (2020),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
mssPn,293.15,0.04,0.065,100,1003.58,Sharma et al. (2020),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
mssPn,293.15,0.04,0.075,100,1004.14,Sharma et al. (2020),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
mssPn,293.15,0.04,0.085,100,1004.71,Sharma et al. (2020),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
