setid,"MolaLity of thiophene, mol/kg","Pressure, kPa","Temperature, K","Solvent: MolaLity of 1-hexyl-3-methyl-1H-imidazolium bromide, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vLTeb,0,101.33,298.15,0.1,655.221,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQdzy,CCCCCC,hexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
vLTeb,0.0462,101.33,298.15,0.1,656.222,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQdzy,CCCCCC,hexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
vLTeb,0.0612,101.33,298.15,0.1,656.541,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQdzy,CCCCCC,hexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
vLTeb,0.0761,101.33,298.15,0.1,656.857,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQdzy,CCCCCC,hexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
vLTeb,0.091,101.33,298.15,0.1,657.168,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQdzy,CCCCCC,hexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
vLTeb,0.1064,101.33,298.15,0.1,657.485,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQdzy,CCCCCC,hexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
vLTeb,0.1213,101.33,298.15,0.1,657.789,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQdzy,CCCCCC,hexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
vLTeb,0.1362,101.33,298.15,0.1,658.095,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQdzy,CCCCCC,hexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
vLTeb,0.1513,101.33,298.15,0.1,658.402,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQdzy,CCCCCC,hexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
vLTeb,0.166,101.33,298.15,0.1,658.69,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQdzy,CCCCCC,hexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
vLTeb,0.1812,101.33,298.15,0.1,658.992,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQdzy,CCCCCC,hexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
vLTeb,0.1958,101.33,298.15,0.1,659.284,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQdzy,CCCCCC,hexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
