setid,"Temperature, K",Mole fraction of butylammonium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
uilbg,293.15,0.031,101,1009.89,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,293.15,0.06,101,1015.91,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,293.15,0.0992,101,1014.35,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,293.15,0.2007,101,1003.86,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,293.15,0.2999,101,993.39,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,293.15,0.4013,101,984.8,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,293.15,0.5004,101,977.72,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,293.15,0.5666,101,974.54,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,293.15,0.7973,101,964.56,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,293.15,0.8972,101,962.15,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,293.15,1,101,959.61,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,298.15,0.031,101,1006.58,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,298.15,0.06,101,1013.18,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,298.15,0.0992,101,1011.15,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,298.15,0.2007,101,1000.82,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,298.15,0.2999,101,990.34,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,298.15,0.4013,101,981.74,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,298.15,0.5004,101,974.67,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,298.15,0.5666,101,971.45,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,298.15,0.7973,101,961.46,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,298.15,0.8972,101,958.98,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,298.15,1,101,956.44,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,303.15,0.031,101,1003.24,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,303.15,0.06,101,1009.87,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,303.15,0.0992,101,1007.91,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,303.15,0.2007,101,997.74,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,303.15,0.2999,101,987.26,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,303.15,0.4013,101,978.64,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
uilbg,303.15,0.5004,101,971.64,Xu (2013),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AADYJk,O,water,,,
