setid,Solvent: Weight fraction of triethylammonium dihydrogen phosphate,Mass ratio to solvent: N-(carboxymethyl)glycine,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FqQok,0.123,0.0239,298.15,101,1057.02,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
FqQok,0.123,0.036,298.15,101,1068.62,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
FqQok,0.123,0.047,298.15,101,1079.52,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
FqQok,0.123,0.058,298.15,101,1089.25,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
FqQok,0.123,0.0619,298.15,101,1093.35,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
FqQok,0.123,0.0674,298.15,101,1098.33,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
FqQok,0.1901,0.019,298.15,101,1047.86,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
FqQok,0.1901,0.025,298.15,101,1067.12,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
FqQok,0.1901,0.0279,298.15,101,1076.83,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
FqQok,0.1901,0.03,298.15,101,1083.51,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
FqQok,0.1901,0.0328,298.15,101,1092.17,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
FqQok,0.1901,0.0357,298.15,101,1101.01,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
FqQok,0.259,0.0041,298.15,101,1042.66,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
FqQok,0.259,0.0075,298.15,101,1059.51,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
FqQok,0.259,0.0112,298.15,101,1077.97,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
FqQok,0.259,0.0145,298.15,101,1094.22,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
FqQok,0.259,0.0172,298.15,101,1104.99,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
FqQok,0.259,0.0194,298.15,101,1110.2,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate
