setid,"Temperature, K","MolaLity of thiophene, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FlJiP,288.15,0,101,1062.75,Shekaari et al. (2016b),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,
FlJiP,288.15,0.0241,101,1062.82,Shekaari et al. (2016b),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,
FlJiP,288.15,0.0674,101,1062.93,Shekaari et al. (2016b),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,
FlJiP,288.15,0.0927,101,1062.99,Shekaari et al. (2016b),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,
FlJiP,288.15,0.1351,101,1063.11,Shekaari et al. (2016b),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,
FlJiP,288.15,0.1854,101,1063.24,Shekaari et al. (2016b),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,
FlJiP,288.15,0.2329,101,1063.37,Shekaari et al. (2016b),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,
FlJiP,288.15,0.2865,101,1063.51,Shekaari et al. (2016b),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,
FlJiP,288.15,0.3194,101,1063.6,Shekaari et al. (2016b),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,
FlJiP,288.15,0.3505,101,1063.69,Shekaari et al. (2016b),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,
