setid,"Temperature, K","Mole fraction of 1,3-dichloro-2-propanol","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HLSmU,298.15,0,87,1236.4,Rafiee and Frouzesh (2015a),Density,Liquid,AAYpPI,OC(CCl)CCl,"1,3-dichloro-2-propanol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
HLSmU,298.15,0.0638,87,1239,Rafiee and Frouzesh (2015a),Density,Liquid,AAYpPI,OC(CCl)CCl,"1,3-dichloro-2-propanol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
HLSmU,298.15,0.1199,87,1241.7,Rafiee and Frouzesh (2015a),Density,Liquid,AAYpPI,OC(CCl)CCl,"1,3-dichloro-2-propanol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
HLSmU,298.15,0.2073,87,1246.7,Rafiee and Frouzesh (2015a),Density,Liquid,AAYpPI,OC(CCl)CCl,"1,3-dichloro-2-propanol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
HLSmU,298.15,0.2973,87,1252.5,Rafiee and Frouzesh (2015a),Density,Liquid,AAYpPI,OC(CCl)CCl,"1,3-dichloro-2-propanol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
HLSmU,298.15,0.3964,87,1259.8,Rafiee and Frouzesh (2015a),Density,Liquid,AAYpPI,OC(CCl)CCl,"1,3-dichloro-2-propanol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
HLSmU,298.15,0.505,87,1269.3,Rafiee and Frouzesh (2015a),Density,Liquid,AAYpPI,OC(CCl)CCl,"1,3-dichloro-2-propanol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
HLSmU,298.15,0.6616,87,1286.8,Rafiee and Frouzesh (2015a),Density,Liquid,AAYpPI,OC(CCl)CCl,"1,3-dichloro-2-propanol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
HLSmU,298.15,0.7527,87,1300,Rafiee and Frouzesh (2015a),Density,Liquid,AAYpPI,OC(CCl)CCl,"1,3-dichloro-2-propanol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
HLSmU,298.15,0.8236,87,1313,Rafiee and Frouzesh (2015a),Density,Liquid,AAYpPI,OC(CCl)CCl,"1,3-dichloro-2-propanol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
