setid,"Temperature, K","Mole fraction of 2-hydroxy-N,N,N-trimethylethanaminium glycinate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lDEVl,298.15,0,100,788.05,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,298.15,0.1002,100,918.31,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,298.15,0.2001,100,989.75,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,298.15,0.2997,100,1034.1,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,298.15,0.4004,100,1066,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,298.15,0.4994,100,1088.4,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,298.15,0.6,100,1105.5,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,298.15,0.6997,100,1119,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,298.15,0.8001,100,1130.4,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,298.15,0.9,100,1139,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,298.15,1,100,1146.3,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,303.15,0,100,783.35,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,303.15,0.1002,100,914.47,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,303.15,0.2001,100,986.27,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
lDEVl,303.15,0.2997,100,1030.8,Alvarez et al. (2022),Density,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,
