setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qSpPj,303.15,0,96.7,931.9,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,303.15,0.177,96.7,980.3,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,303.15,0.332,96.7,1010.2,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,303.15,0.428,96.7,1025.1,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,303.15,0.538,96.7,1038.5,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,303.15,0.664,96.7,1052.4,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,303.15,0.816,96.7,1066.3,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,303.15,0.904,96.7,1073.2,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,303.15,1,96.7,1079.4,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,308.15,0,96.7,927.3,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,308.15,0.177,96.7,976.2,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,308.15,0.332,96.7,1006.6,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,308.15,0.428,96.7,1021.6,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,308.15,0.538,96.7,1035.1,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,308.15,0.664,96.7,1049.2,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,308.15,0.816,96.7,1063.3,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,308.15,0.904,96.7,1070.3,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,308.15,1,96.7,1076.6,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,313.15,0,96.7,922.7,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,313.15,0.177,96.7,972.2,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,313.15,0.332,96.7,1003,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,313.15,0.428,96.7,1018.1,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,313.15,0.538,96.7,1031.7,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,313.15,0.664,96.7,1046,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,313.15,0.816,96.7,1060.2,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,313.15,0.904,96.7,1067.4,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,313.15,1,96.7,1073.8,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,318.15,0,96.7,918.1,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,318.15,0.177,96.7,968.2,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,318.15,0.332,96.7,999.4,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,318.15,0.428,96.7,1014.7,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,318.15,0.538,96.7,1028.3,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,318.15,0.664,96.7,1042.8,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,318.15,0.816,96.7,1057.2,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,318.15,0.904,96.7,1064.5,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,318.15,1,96.7,1071,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,323.15,0,96.7,913.4,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,323.15,0.177,96.7,964.3,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,323.15,0.332,96.7,995.8,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,323.15,0.428,96.7,1011.3,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,323.15,0.538,96.7,1024.8,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,323.15,0.664,96.7,1039.6,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,323.15,0.816,96.7,1054.3,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,323.15,0.904,96.7,1061.7,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,323.15,1,96.7,1068.2,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,328.15,0,96.7,908.8,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,328.15,0.177,96.7,960.3,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,328.15,0.332,96.7,992.1,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
qSpPj,328.15,0.428,96.7,1007.9,Yang et al. (2017b),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
