setid,Mole fraction of tetraethylammonium tetrafluoroborate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
atleZ,0.02,293.15,100,812,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.02,298.15,100,806.8,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.02,303.15,100,801.6,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.02,308.15,100,796.5,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.02,313.15,100,791.4,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.02,318.15,100,786,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.02,323.15,100,780.5,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.02,328.15,100,775.3,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.02,333.15,100,770,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.02,338.15,100,764.8,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.02,343.15,100,759.2,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.02,348.15,100,753.6,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.0301,293.15,100,825.1,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.0301,298.15,100,820.1,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.0301,303.15,100,815,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.0301,308.15,100,809.9,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.0301,313.15,100,804.9,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.0301,318.15,100,799.6,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.0301,323.15,100,794.2,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.0301,328.15,100,789.1,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.0301,333.15,100,783.9,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.0301,338.15,100,778.9,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.0301,343.15,100,773.3,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.0301,348.15,100,767.9,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.0499,293.15,100,849.2,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.0499,298.15,100,844.3,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.0499,303.15,100,839.4,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.0499,308.15,100,834.5,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.0499,313.15,100,829.6,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
atleZ,0.0499,318.15,100,824.6,Arkhipova et al. (2022c),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
