setid,"Temperature, K","MolaLity of 3-carboxylpyridine, mol/kg","Solvent: MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MnPdR,293.15,0,0,100,998.2,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,293.15,0,0.05,100,1000.5,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,293.15,0,0.1,100,1002.8,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,293.15,0,0.15,100,1005.5,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,293.15,0.0149,0,100,999,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,293.15,0.0149,0.05,100,1001.1,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,293.15,0.015,0.1,100,1003.2,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,293.15,0.0151,0.15,100,1005.7,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,293.15,0.0299,0.1,100,1003.5,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,293.15,0.0299,0.15,100,1005.8,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,293.15,0.0301,0,100,999.7,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,293.15,0.0301,0.05,100,1001.7,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,293.15,0.0449,0,100,1000.4,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,293.15,0.0449,0.05,100,1002.2,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,293.15,0.0451,0.1,100,1003.9,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,293.15,0.0451,0.15,100,1005.9,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,293.15,0.0601,0.05,100,1002.8,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,293.15,0.0601,0.1,100,1004.3,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,293.15,0.0601,0.15,100,1006.1,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,293.15,0.0602,0,100,1001.1,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,293.15,0.075,0.05,100,1003.4,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,293.15,0.075,0.1,100,1004.6,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,293.15,0.075,0.15,100,1006.2,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,293.15,0.0751,0,100,1001.7,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,293.15,0.0899,0.15,100,1006.3,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,293.15,0.09,0,100,1002.4,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
MnPdR,293.15,0.09,0.05,100,1003.9,Richu and Kumar (2021),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
