setid,"MolaLity of 1-butyl-3-methylimidazolium uracilide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RTQNw,0,94.4,298.15,997.05,Gavhane et al. (2022),Density,Liquid,AAwHAm,[N-]1C(=O)NC(=O)C=C1.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium uracilide,AADYJk,O,water,,,
RTQNw,0.0172,94.4,298.15,997.84,Gavhane et al. (2022),Density,Liquid,AAwHAm,[N-]1C(=O)NC(=O)C=C1.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium uracilide,AADYJk,O,water,,,
RTQNw,0.0533,94.4,298.15,999.49,Gavhane et al. (2022),Density,Liquid,AAwHAm,[N-]1C(=O)NC(=O)C=C1.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium uracilide,AADYJk,O,water,,,
RTQNw,0.0712,94.4,298.15,1000.29,Gavhane et al. (2022),Density,Liquid,AAwHAm,[N-]1C(=O)NC(=O)C=C1.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium uracilide,AADYJk,O,water,,,
RTQNw,0.092,94.4,298.15,1001.23,Gavhane et al. (2022),Density,Liquid,AAwHAm,[N-]1C(=O)NC(=O)C=C1.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium uracilide,AADYJk,O,water,,,
RTQNw,0.1641,94.4,298.15,1004.41,Gavhane et al. (2022),Density,Liquid,AAwHAm,[N-]1C(=O)NC(=O)C=C1.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium uracilide,AADYJk,O,water,,,
RTQNw,0.2473,94.4,298.15,1008.01,Gavhane et al. (2022),Density,Liquid,AAwHAm,[N-]1C(=O)NC(=O)C=C1.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium uracilide,AADYJk,O,water,,,
RTQNw,0.3395,94.4,298.15,1011.87,Gavhane et al. (2022),Density,Liquid,AAwHAm,[N-]1C(=O)NC(=O)C=C1.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium uracilide,AADYJk,O,water,,,
RTQNw,0.4444,94.4,298.15,1016.16,Gavhane et al. (2022),Density,Liquid,AAwHAm,[N-]1C(=O)NC(=O)C=C1.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium uracilide,AADYJk,O,water,,,
RTQNw,0.5446,94.4,298.15,1020.05,Gavhane et al. (2022),Density,Liquid,AAwHAm,[N-]1C(=O)NC(=O)C=C1.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium uracilide,AADYJk,O,water,,,
RTQNw,0.6443,94.4,298.15,1023.87,Gavhane et al. (2022),Density,Liquid,AAwHAm,[N-]1C(=O)NC(=O)C=C1.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium uracilide,AADYJk,O,water,,,
RTQNw,0.7499,94.4,298.15,1027.71,Gavhane et al. (2022),Density,Liquid,AAwHAm,[N-]1C(=O)NC(=O)C=C1.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium uracilide,AADYJk,O,water,,,
RTQNw,0.8593,94.4,298.15,1031.64,Gavhane et al. (2022),Density,Liquid,AAwHAm,[N-]1C(=O)NC(=O)C=C1.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium uracilide,AADYJk,O,water,,,
