setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium dimethylphosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cgTNh,293.15,0,100,790,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,293.15,0.0202,100,821,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,293.15,0.0402,100,848,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,293.15,0.0802,100,895,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,293.15,0.1004,100,915,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,293.15,0.1203,100,934,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,293.15,0.1594,100,966,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,293.15,0.2032,100,997,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,293.15,0.3007,100,1052,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,293.15,0.3994,100,1094,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,293.15,0.5013,100,1128,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,293.15,0.5994,100,1153,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,293.15,0.7006,100,1175,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,293.15,0.8011,100,1193,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,293.15,0.8988,100,1207,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,293.15,1,100,1220,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,298.15,0,100,785,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,298.15,0.0202,100,816,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,298.15,0.0402,100,844,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,298.15,0.0802,100,891,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
