setid,"Temperature, K",Mole fraction of 1-(2-hydroxyethyl)pyridinium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cGZet,298.15,0.022,101,1071.4,Krolikowska et al. (2019a),Density,Liquid,AAnMlv,OCC[n+]1ccccc1.[Br-],1-(2-hydroxyethyl)pyridinium bromide,AADYJk,O,water,,,
cGZet,298.15,0.045,101,1131.4,Krolikowska et al. (2019a),Density,Liquid,AAnMlv,OCC[n+]1ccccc1.[Br-],1-(2-hydroxyethyl)pyridinium bromide,AADYJk,O,water,,,
cGZet,298.15,0.066,101,1177.3,Krolikowska et al. (2019a),Density,Liquid,AAnMlv,OCC[n+]1ccccc1.[Br-],1-(2-hydroxyethyl)pyridinium bromide,AADYJk,O,water,,,
cGZet,298.15,0.085,101,1211,Krolikowska et al. (2019a),Density,Liquid,AAnMlv,OCC[n+]1ccccc1.[Br-],1-(2-hydroxyethyl)pyridinium bromide,AADYJk,O,water,,,
cGZet,298.15,0.114,101,1256.4,Krolikowska et al. (2019a),Density,Liquid,AAnMlv,OCC[n+]1ccccc1.[Br-],1-(2-hydroxyethyl)pyridinium bromide,AADYJk,O,water,,,
cGZet,298.15,0.152,101,1296.4,Krolikowska et al. (2019a),Density,Liquid,AAnMlv,OCC[n+]1ccccc1.[Br-],1-(2-hydroxyethyl)pyridinium bromide,AADYJk,O,water,,,
cGZet,298.15,0.195,101,1334.4,Krolikowska et al. (2019a),Density,Liquid,AAnMlv,OCC[n+]1ccccc1.[Br-],1-(2-hydroxyethyl)pyridinium bromide,AADYJk,O,water,,,
cGZet,298.15,0.226,101,1356.7,Krolikowska et al. (2019a),Density,Liquid,AAnMlv,OCC[n+]1ccccc1.[Br-],1-(2-hydroxyethyl)pyridinium bromide,AADYJk,O,water,,,
cGZet,298.15,0.261,101,1377.5,Krolikowska et al. (2019a),Density,Liquid,AAnMlv,OCC[n+]1ccccc1.[Br-],1-(2-hydroxyethyl)pyridinium bromide,AADYJk,O,water,,,
cGZet,303.15,0.022,101,1069.5,Krolikowska et al. (2019a),Density,Liquid,AAnMlv,OCC[n+]1ccccc1.[Br-],1-(2-hydroxyethyl)pyridinium bromide,AADYJk,O,water,,,
cGZet,303.15,0.045,101,1129.2,Krolikowska et al. (2019a),Density,Liquid,AAnMlv,OCC[n+]1ccccc1.[Br-],1-(2-hydroxyethyl)pyridinium bromide,AADYJk,O,water,,,
cGZet,303.15,0.066,101,1174.8,Krolikowska et al. (2019a),Density,Liquid,AAnMlv,OCC[n+]1ccccc1.[Br-],1-(2-hydroxyethyl)pyridinium bromide,AADYJk,O,water,,,
cGZet,303.15,0.085,101,1208.3,Krolikowska et al. (2019a),Density,Liquid,AAnMlv,OCC[n+]1ccccc1.[Br-],1-(2-hydroxyethyl)pyridinium bromide,AADYJk,O,water,,,
cGZet,303.15,0.114,101,1251.9,Krolikowska et al. (2019a),Density,Liquid,AAnMlv,OCC[n+]1ccccc1.[Br-],1-(2-hydroxyethyl)pyridinium bromide,AADYJk,O,water,,,
cGZet,303.15,0.152,101,1293.5,Krolikowska et al. (2019a),Density,Liquid,AAnMlv,OCC[n+]1ccccc1.[Br-],1-(2-hydroxyethyl)pyridinium bromide,AADYJk,O,water,,,
cGZet,303.15,0.195,101,1331.4,Krolikowska et al. (2019a),Density,Liquid,AAnMlv,OCC[n+]1ccccc1.[Br-],1-(2-hydroxyethyl)pyridinium bromide,AADYJk,O,water,,,
cGZet,303.15,0.226,101,1353.6,Krolikowska et al. (2019a),Density,Liquid,AAnMlv,OCC[n+]1ccccc1.[Br-],1-(2-hydroxyethyl)pyridinium bromide,AADYJk,O,water,,,
cGZet,303.15,0.261,101,1374.3,Krolikowska et al. (2019a),Density,Liquid,AAnMlv,OCC[n+]1ccccc1.[Br-],1-(2-hydroxyethyl)pyridinium bromide,AADYJk,O,water,,,
cGZet,308.15,0.022,101,1067.5,Krolikowska et al. (2019a),Density,Liquid,AAnMlv,OCC[n+]1ccccc1.[Br-],1-(2-hydroxyethyl)pyridinium bromide,AADYJk,O,water,,,
