setid,"Temperature, K","Mole fraction of (3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane","Mole fraction of (3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane","Pressure, kPa","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xaZKn,283.5,0.036,0.036,101,0.0001796,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsVY,[2H][C@@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsPE,[2H][C@@](F)(C(F)(F)C(F)(F)F)[C@@]([2H])(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
xaZKn,283.5,0.496,0.496,101,0.0001571,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsVY,[2H][C@@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsPE,[2H][C@@](F)(C(F)(F)C(F)(F)F)[C@@]([2H])(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
xaZKn,294.1,0.033,0.033,101,0.0001816,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsVY,[2H][C@@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsPE,[2H][C@@](F)(C(F)(F)C(F)(F)F)[C@@]([2H])(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
xaZKn,294.1,0.497,0.497,101,0.0001599,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsVY,[2H][C@@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsPE,[2H][C@@](F)(C(F)(F)C(F)(F)F)[C@@]([2H])(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
xaZKn,303.9,0.032,0.032,101,0.0001826,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsVY,[2H][C@@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsPE,[2H][C@@](F)(C(F)(F)C(F)(F)F)[C@@]([2H])(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
xaZKn,303.9,0.495,0.495,101,0.000163,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsVY,[2H][C@@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsPE,[2H][C@@](F)(C(F)(F)C(F)(F)F)[C@@]([2H])(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
xaZKn,313.5,0.028,0.028,101,0.0001841,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsVY,[2H][C@@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsPE,[2H][C@@](F)(C(F)(F)C(F)(F)F)[C@@]([2H])(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
xaZKn,313.5,0.495,0.495,101,0.0001657,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsVY,[2H][C@@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsPE,[2H][C@@](F)(C(F)(F)C(F)(F)F)[C@@]([2H])(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
xaZKn,323.4,0.027,0.027,101,0.0001857,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsVY,[2H][C@@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsPE,[2H][C@@](F)(C(F)(F)C(F)(F)F)[C@@]([2H])(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
xaZKn,323.4,0.494,0.494,101,0.0001692,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsVY,[2H][C@@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsPE,[2H][C@@](F)(C(F)(F)C(F)(F)F)[C@@]([2H])(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
